drug_name	disease_name	label	source
amlodipine	obsolete hypertension, diastolic, resistance to	1	positive
amobarbital	convulsive disorder, familial, with prenatal or early onset	1	positive
amobarbital	hyperphosphatemia, polyuria, and seizures	1	positive
amphetamine	hereditary attention deficit-hyperactivity disorder	1	positive
amrinone	dilated mediastinal arteries	1	positive
anastrozole	hereditary breast carcinoma	1	positive
anastrozole	mccune-albright syndrome	1	positive
anisindione	atrial fibrillation, familial, 3	1	positive
apomorphine	late-onset parkinson disease	1	positive
apomorphine	paralysis agitans, juvenile, of hunt	1	positive
ardeparin	thrombophilia due to thrombin defect	1	positive
argatroban	thrombophilia due to thrombin defect	1	positive
arginine	d-glyceric aciduria	1	positive
arsenic trioxide	mismatch repair cancer syndrome 1	1	positive
ascorbic acid	irida syndrome	1	positive
ascorbic acid	methemoglobinemia type 4	1	positive
astemizole	insect stings, hypersensitivity to	1	positive
atazanavir	autoimmune disease	1	positive
atenolol	blepharophimosis, ptosis, and epicanthus inversus syndrome	1	positive
atenolol	mvp1	1	positive
atomoxetine	hereditary attention deficit-hyperactivity disorder	1	positive
atorvastatin	hypercholesterolemia, autosomal dominant, type b	1	positive
atropine	enterocolitis	1	positive
atropine	tremor-nystagmus-duodenal ulcer syndrome	1	positive
auranofin	felty syndrome	1	positive
azacitidine	miller-dieker lissencephaly syndrome	1	positive
azacitidine	onychotrichodysplasia and neutropenia	1	positive
azacitidine	portal vein, cavernous transformation of	1	positive
azathioprine	ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	1	positive
azathioprine	grubben-de cock-borghgraef syndrome	1	positive
azathioprine	inflammatory bowel disease 1	1	positive
azathioprine	multiple sclerosis, susceptibility to 1	1	positive
azathioprine	myopathy, distal, infantile-onset	1	positive
azathioprine	sarcoidosis, susceptibility to, 1	1	positive
azelaic acid	pyogenic arthritis-pyoderma gangrenosum-acne syndrome	1	positive
baclofen	dystonia 9	1	positive
baclofen	huntington disease	1	positive
baclofen	infantile-onset ascending hereditary spastic paralysis	1	positive
baclofen	inherited torticollis	1	positive
baclofen	insensitivity to pain with hyperplastic myelinopathy	1	positive
baclofen	multiple sclerosis, susceptibility to 1	1	positive
baclofen	torsion dystonia 4	1	positive
balsalazide	inflammatory bowel disease 1	1	positive
beclomethasone dipropionate	asthma, nasal polyps, and aspirin intolerance	1	positive
beclomethasone dipropionate	inherited susceptibility to asthma	1	positive
benazepril	autosomal dominant progressive nephropathy with hypertension	1	positive
benazepril	hypoparathyroidism-deafness-renal disease syndrome	1	positive
benazepril	obsolete hypertension, diastolic, resistance to	1	positive
bendroflumethiazide	autosomal dominant progressive nephropathy with hypertension	1	positive
bendroflumethiazide	enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	1	positive
bendroflumethiazide	greenberg dysplasia	1	positive
bendroflumethiazide	nephrotic syndrome, type 4	1	positive
bendroflumethiazide	obsolete hypertension, diastolic, resistance to	1	positive
benzatropine	dementia/parkinsonism with non-alzheimer amyloid plaques	1	positive
benzatropine	late-onset parkinson disease	1	positive
benzatropine	paralysis agitans, juvenile, of hunt	1	positive
benzocaine	insensitivity to pain with hyperplastic myelinopathy	1	positive
benzocaine	otitis media, susceptibility to	1	positive
benzonatate	hereditary sensory and autonomic neuropathy type 1b	1	positive
benzphetamine	choroideremia-deafness-obesity syndrome	1	positive
benzphetamine	inherited obesity	1	positive
benzphetamine	prolactin deficiency with obesity and enlarged testes	1	positive
benzquinamide	hyperthermia, cutaneous, with headaches and nausea	1	positive
bepridil	autosomal dominant progressive nephropathy with hypertension	1	positive
bepridil	obsolete hypertension, diastolic, resistance to	1	positive
betamethasone	dermatosis papulosa nigra	1	positive
betamethasone	lichen sclerosus et atrophicus	1	positive
betamethasone	obsolete exostoses of heel	1	positive
betaxolol	autosomal dominant progressive nephropathy with hypertension	1	positive
betaxolol	glaucoma 1, open angle, a	1	positive
betaxolol	obsolete hypertension, diastolic, resistance to	1	positive
bethanechol	gastroesophageal reflux disease	1	positive
bethanechol	tooth ankylosis	1	positive
bethanechol	urinary bladder, atony of	1	positive
bexarotene	mismatch repair cancer syndrome 1	1	positive
bicalutamide	prostate cancer, hereditary	1	positive
bimatoprost	autosomal dominant progressive nephropathy with hypertension	1	positive
bimatoprost	glaucoma 1, open angle, a	1	positive
bimatoprost	glaucoma type 1c	1	positive
bimatoprost	optn-related open angle glaucoma	1	positive
biperiden	dementia/parkinsonism with non-alzheimer amyloid plaques	1	positive
biperiden	paralysis agitans, juvenile, of hunt	1	positive
bismuth subsalicylate	helicobacter pylori infection, susceptibility to	1	positive
bisoprolol	blepharophimosis, ptosis, and epicanthus inversus syndrome	1	positive
bisoprolol	mvp1	1	positive
bitolterol	asthma, nasal polyps, and aspirin intolerance	1	positive
bitolterol	inherited susceptibility to asthma	1	positive
bleomycin	leukemia, chronic lymphocytic, susceptibility to, 2	1	positive
bleomycin	lymphoblastic leukemia, acute, with lymphomatous features	1	positive
bleomycin	melanoma, cutaneous malignant, susceptibility to, 1	1	positive
bleomycin	melanoma, cutaneous malignant, susceptibility to, 2	1	positive
bleomycin	reticulum cell sarcoma	1	positive
bosentan	autosomal dominant progressive nephropathy with hypertension	1	positive
bosentan	pulmonary hypertension, primary, 1	1	positive
brimonidine	autosomal dominant progressive nephropathy with hypertension	1	positive
brimonidine	glaucoma 1, open angle, a	1	positive
brimonidine	glaucoma type 1c	1	positive
brimonidine	optn-related open angle glaucoma	1	positive
brinzolamide	autosomal dominant progressive nephropathy with hypertension	1	positive
brinzolamide	glaucoma 1, open angle, a	1	positive
brinzolamide	glaucoma type 1c	1	positive
brinzolamide	optn-related open angle glaucoma	1	positive
bromfenac	cataract-aberrant oral frenula-growth delay syndrome	1	positive
bromfenac	sengers syndrome	1	positive
bromocriptine	paralysis agitans, juvenile, of hunt	1	positive
buclizine	hyperthermia, cutaneous, with headaches and nausea	1	positive
budesonide	asthma, nasal polyps, and aspirin intolerance	1	positive
budesonide	berry aneurysm, cirrhosis, pulmonary emphysema, and cerebral calcification	1	positive
budesonide	inflammatory bowel disease 1	1	positive
budesonide	inflammatory bowel disease 11	1	positive
budesonide	inherited susceptibility to asthma	1	positive
bumetanide	autosomal dominant progressive nephropathy with hypertension	1	positive
bumetanide	berry aneurysm, cirrhosis, pulmonary emphysema, and cerebral calcification	1	positive
bumetanide	chylous ascites	1	positive
bumetanide	enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	1	positive
bumetanide	greenberg dysplasia	1	positive
bumetanide	hypoparathyroidism-deafness-renal disease syndrome	1	positive
bumetanide	mitochondrial dna depletion syndrome 4a	1	positive
bumetanide	multicentric carpo-tarsal osteolysis with or without nephropathy	1	positive
bumetanide	nephrotic syndrome, type 4	1	positive
bumetanide	obsolete hypertension, diastolic, resistance to	1	positive
bupivacaine	insensitivity to pain with hyperplastic myelinopathy	1	positive
buprenorphine	insensitivity to pain with hyperplastic myelinopathy	1	positive
bupropion	hereditary attention deficit-hyperactivity disorder	1	positive
bupropion	panic disorder 1	1	positive
bupropion	prolactin deficiency with obesity and enlarged testes	1	positive
buspirone	alopecia-epilepsy-pyorrhea-intellectual disability syndrome	1	positive
buspirone	mental and growth retardation with amblyopia	1	positive
buspirone	ophthalmoplegia-intellectual disability-lingua scrotalis syndrome	1	positive
buspirone	panic disorder 1	1	positive
buspirone	primrose syndrome	1	positive
buspirone	spondyloepimetaphyseal dysplasia, bieganski type	1	positive
busulfan	acquired polycythemia vera	1	positive
busulfan	dohle bodies and leukemia	1	positive
busulfan	leukemia, acute myelocytic, with polyposis coli and colon cancer	1	positive
busulfan	mismatch repair cancer syndrome 1	1	positive
butalbital	hyperthermia, cutaneous, with headaches and nausea	1	positive
butalbital	migraine with or without aura, susceptibility to, 1	1	positive
butorphanol	insensitivity to pain with hyperplastic myelinopathy	1	positive
cabergoline	prolactin-producing pituitary gland adenoma	1	positive
caffeine	flushing of ears and somnolence	1	positive
caffeine	hyperthermia, cutaneous, with headaches and nausea	1	positive
caffeine	insensitivity to pain with hyperplastic myelinopathy	1	positive
caffeine	migraine with or without aura, susceptibility to, 1	1	positive
caffeine	osteoarthritis susceptibility 2	1	positive
calcitriol	familial isolated deficiency of vitamin e	1	positive
calcitriol	hypoparathyroidism-deafness-renal disease syndrome	1	positive
calcitriol	vitamin d-dependent rickets, type 2a	1	positive
candesartan cilexetil	autosomal dominant progressive nephropathy with hypertension	1	positive
candesartan cilexetil	obsolete hypertension, diastolic, resistance to	1	positive
capecitabine	cdh1-related diffuse gastric and lobular breast cancer syndrome	1	positive
capecitabine	hereditary breast carcinoma	1	positive
capecitabine	mismatch repair cancer syndrome 1	1	positive
capecitabine	nonpapillary renal cell carcinoma	1	positive
capecitabine	prostate cancer, hereditary	1	positive
captopril	autosomal dominant progressive nephropathy with hypertension	1	positive
captopril	bartter disease type 4a	1	positive
captopril	enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	1	positive
captopril	greenberg dysplasia	1	positive
captopril	hypoparathyroidism-deafness-renal disease syndrome	1	positive
captopril	obsolete hypertension, diastolic, resistance to	1	positive
captopril	raynaud disease	1	positive
carbamazepine	alopecia-epilepsy-pyorrhea-intellectual disability syndrome	1	positive
carbamazepine	optic atrophy, hearing loss, and peripheral neuropathy, autosomal dominant	1	positive
carbamazepine	restless legs syndrome, susceptibility to, 1	1	positive
carbamazepine	schizophrenia	1	positive
carbamazepine	torsion dystonia 4	1	positive
carbidopa	dementia/parkinsonism with non-alzheimer amyloid plaques	1	positive
carbidopa	late-onset parkinson disease	1	positive
carbidopa	restless legs syndrome, susceptibility to, 1	1	positive
carboplatin	bone osteosarcoma	1	positive
carboplatin	esophageal cancer	1	positive
carboplatin	mismatch repair cancer syndrome 1	1	positive
carboplatin	urinary bladder cancer	1	positive
carmustine	glioma susceptibility 1	1	positive
carmustine	leukemia, chronic lymphocytic, susceptibility to, 2	1	positive
carmustine	lymphoblastic leukemia, acute, with lymphomatous features	1	positive
carmustine	mismatch repair cancer syndrome 1	1	positive
carmustine	reticulum cell sarcoma	1	positive
carteolol	autosomal dominant progressive nephropathy with hypertension	1	positive
carteolol	glaucoma 1, open angle, a	1	positive
carteolol	obsolete hypertension, diastolic, resistance to	1	positive
carvedilol	atrial fibrillation, familial, 3	1	positive
carvedilol	autosomal dominant progressive nephropathy with hypertension	1	positive
carvedilol	obsolete hypertension, diastolic, resistance to	1	positive
cefazolin	gallbladder disease 1	1	positive
cefdinir	asthma, nasal polyps, and aspirin intolerance	1	positive
cefdinir	otitis media, susceptibility to	1	positive
celecoxib	familial adenomatous polyposis 1	1	positive
celecoxib	gingival fibromatosis-progressive deafness syndrome	1	positive
celecoxib	insensitivity to pain with hyperplastic myelinopathy	1	positive
celecoxib	leukemia, acute myelocytic, with polyposis coli and colon cancer	1	positive
celecoxib	osteoarthritis susceptibility 1	1	positive
celecoxib	osteoarthritis susceptibility 2	1	positive
celecoxib	osteoarthritis susceptibility 3	1	positive
celecoxib	polyposis of gastric fundus without polyposis coli	1	positive
celecoxib	progressive pseudorheumatoid arthropathy of childhood	1	positive
celecoxib	sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	1	positive
chlordiazepoxide	alcohol dependence	1	positive
chlordiazepoxide	enterocolitis	1	positive
chloroprocaine	insensitivity to pain with hyperplastic myelinopathy	1	positive
chloroquine	sarcoidosis, susceptibility to, 1	1	positive
chlorothiazide	autosomal dominant progressive nephropathy with hypertension	1	positive
chlorothiazide	berry aneurysm, cirrhosis, pulmonary emphysema, and cerebral calcification	1	positive
chlorothiazide	enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	1	positive
chlorothiazide	greenberg dysplasia	1	positive
chlorothiazide	mitochondrial dna depletion syndrome 4a	1	positive
chlorothiazide	nephrotic syndrome, type 4	1	positive
chlorothiazide	obsolete hypertension, diastolic, resistance to	1	positive
chlorpromazine	hyperthermia, cutaneous, with headaches and nausea	1	positive
chlorpropamide	maturity-onset diabetes of the young type 1	1	positive
chlorpropamide	maturity-onset diabetes of the young type 2	1	positive
chlorpropamide	maturity-onset diabetes of the young type 3	1	positive
chlorthalidone	autosomal dominant progressive nephropathy with hypertension	1	positive
chlorthalidone	obsolete hypertension, diastolic, resistance to	1	positive
chlorzoxazone	insensitivity to pain with hyperplastic myelinopathy	1	positive
cholecalciferol	acroosteolysis dominant type	1	positive
cholecalciferol	inflammatory bowel disease 1	1	positive
choline	insensitivity to pain with hyperplastic myelinopathy	1	positive
choline	osteoarthritis susceptibility 1	1	positive
choline	osteoarthritis susceptibility 2	1	positive
choline	osteoarthritis susceptibility 3	1	positive
choline	progressive pseudorheumatoid arthropathy of childhood	1	positive
choline	sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	1	positive
ciclesonide	asthma, nasal polyps, and aspirin intolerance	1	positive
ciclopirox	candidiasis, familial, 1	1	positive
ciclopirox	dermatosis papulosa nigra	1	positive
cimetidine	immune dysregulation-polyendocrinopathy-enteropathy-x-linked syndrome	1	positive
cimetidine	prolactin deficiency with obesity and enlarged testes	1	positive
cimetidine	tremor-nystagmus-duodenal ulcer syndrome	1	positive
cinchocaine	insensitivity to pain with hyperplastic myelinopathy	1	positive
ciprofloxacin	asthma, nasal polyps, and aspirin intolerance	1	positive
ciprofloxacin	hyperthermia, cutaneous, with headaches and nausea	1	positive
ciprofloxacin	inflammatory bowel disease 1	1	positive
ciprofloxacin	onychotrichodysplasia and neutropenia	1	positive
ciprofloxacin	otitis media, susceptibility to	1	positive
cisapride	immune dysregulation-polyendocrinopathy-enteropathy-x-linked syndrome	1	positive
cisplatin	bone osteosarcoma	1	positive
cisplatin	classic hodgkin lymphoma	1	positive
cisplatin	esophageal cancer	1	positive
cisplatin	mismatch repair cancer syndrome 1	1	positive
cisplatin	neuroblastoma, susceptibility to, 1	1	positive
cisplatin	urinary bladder cancer	1	positive
citalopram	alcohol dependence	1	positive
citalopram	bonnemann-meinecke-reich syndrome	1	positive
citalopram	camurati-engelmann disease	1	positive
citalopram	encephalopathy, axonal, with necrotizing myopathy, cardiomyopathy, and cataracts	1	positive
citalopram	familial acute necrotizing encephalopathy	1	positive
citalopram	panic disorder 1	1	positive
citalopram	peripheral neuropathy, ataxia, focal necrotizing encephalopathy, and spongy degeneration of brain	1	positive
citalopram	spastic paraplegia, optic atrophy, and dementia	1	positive
citric acid	autosomal dominant distal renal tubular acidosis	1	positive
citric acid	autosomal recessive proximal renal tubular acidosis	1	positive
citric acid	nephrolithiasis, x-linked recessive, with renal failure	1	positive
citric acid	proximal renal tubular acidosis	1	positive
cladribine	leukemia, chronic lymphocytic, susceptibility to, 2	1	positive
cladribine	mismatch repair cancer syndrome 1	1	positive
cladribine	multiple sclerosis, susceptibility to 1	1	positive
cladribine	onychotrichodysplasia and neutropenia	1	positive
clidinium	inflammatory bowel disease 11	1	positive
clobetasol propionate	dermatosis papulosa nigra	1	positive
clobetasol propionate	lichen sclerosus et atrophicus	1	positive
clofarabine	lymphoblastic leukemia, acute, with lymphomatous features	1	positive
clofibrate	hyperlipoproteinemia type v	1	positive
clomifene	spermatogenic failure 4	1	positive
clomipramine	panic disorder 1	1	positive
clonazepam	acromegaloid changes, cutis verticis gyrata, and corneal leukoma	1	positive
clonazepam	juvenile myoclonic epilepsy	1	positive
clonazepam	osteoarthritis susceptibility 1	1	positive
clonazepam	osteoarthritis susceptibility 2	1	positive
clonazepam	osteoarthritis susceptibility 3	1	positive
clonazepam	panic disorder 1	1	positive
clonazepam	progressive pseudorheumatoid arthropathy of childhood	1	positive
clonazepam	restless legs syndrome, susceptibility to, 1	1	positive
clonazepam	schizophrenia	1	positive
clonazepam	sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	1	positive
clonazepam	unverricht-lundborg syndrome	1	positive
clonidine	atrial fibrillation, familial, 3	1	positive
clonidine	autosomal dominant progressive nephropathy with hypertension	1	positive
clonidine	dystonia 9	1	positive
clonidine	hereditary attention deficit-hyperactivity disorder	1	positive
clonidine	hyperhidrosis palmaris et plantaris	1	positive
clonidine	insensitivity to pain with hyperplastic myelinopathy	1	positive
clonidine	obsolete hypertension, diastolic, resistance to	1	positive
clonidine	pheochromocytoma	1	positive
clonidine	restless legs syndrome, susceptibility to, 1	1	positive
clonidine	tourette syndrome	1	positive
clopidogrel	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	1	positive
clopidogrel	melas syndrome	1	positive
clopidogrel	obsolete susceptibility to ischemic stroke	1	positive
clotrimazole	candidiasis, familial, 1	1	positive
clotrimazole	predisposition to invasive fungal disease due to card9 deficiency	1	positive
cocaine	hereditary sensory and autonomic neuropathy type 1b	1	positive
cocaine	insensitivity to pain with hyperplastic myelinopathy	1	positive
codeine	hereditary sensory and autonomic neuropathy type 1b	1	positive
codeine	hyperthermia, cutaneous, with headaches and nausea	1	positive
codeine	osteoarthritis susceptibility 2	1	positive
colchicine	autosomal recessive familial mediterranean fever	1	positive
conjugated estrogens	acroosteolysis dominant type	1	positive
conjugated estrogens	ataxia-hypogonadism-choroidal dystrophy syndrome	1	positive
conjugated estrogens	hereditary breast carcinoma	1	positive
conjugated estrogens	premature ovarian failure 1	1	positive
conjugated estrogens	prostate cancer, hereditary	1	positive
conjugated estrogens	prostate cancer, hereditary, 1	1	positive
conjugated estrogens	uterine anomalies	1	positive
cromoglicic acid	asthma, nasal polyps, and aspirin intolerance	1	positive
cromoglicic acid	inflammatory bowel disease 11	1	positive
cromoglicic acid	inherited susceptibility to asthma	1	positive
cyclizine	hyperthermia, cutaneous, with headaches and nausea	1	positive
cyclobenzaprine	acanthosis nigricans-insulin resistance-muscle cramps-acral enlargement syndrome	1	positive
cyclobenzaprine	dystonia 9	1	positive
cyclobenzaprine	familial idiopathic inflammatory myopathy	1	positive
cyclobenzaprine	insensitivity to pain with hyperplastic myelinopathy	1	positive
cyclobenzaprine	migraine with or without aura, susceptibility to, 1	1	positive
cyclosporine	myasthenia gravis	1	positive
cyclosporine	systemic lupus erythematosus	1	positive
cyproheptadine	blepharospasm, benign essential, susceptibility to	1	positive
cyproheptadine	branchial myoclonus with spastic paraparesis and cerebellar ataxia	1	positive
cyproheptadine	cranial nerves, recurrent paresis of	1	positive
cyproheptadine	dyskinesia with orofacial involvement, autosomal dominant	1	positive
cyproheptadine	insect stings, hypersensitivity to	1	positive
cyproheptadine	migraine with or without aura, susceptibility to, 1	1	positive
cyproheptadine	migraine, familial typical, susceptibility to, 2	1	positive
cyproheptadine	schizophrenia	1	positive
cyproheptadine	spastic paraparesis-deafness syndrome	1	positive
cytarabine	classic hodgkin lymphoma	1	positive
cytarabine	dohle bodies and leukemia	1	positive
cytarabine	leukemia, acute myelocytic, with polyposis coli and colon cancer	1	positive
cytarabine	leukemia, chronic lymphocytic, susceptibility to, 2	1	positive
cytarabine	lymphoblastic leukemia, acute, with lymphomatous features	1	positive
cytarabine	mismatch repair cancer syndrome 1	1	positive
cytarabine	reticulum cell sarcoma	1	positive
dacarbazine	alveolar rhabdomyosarcoma	1	positive
dacarbazine	melanoma, cutaneous malignant, susceptibility to, 1	1	positive
dacarbazine	melanoma, cutaneous malignant, susceptibility to, 2	1	positive
dacarbazine	mismatch repair cancer syndrome 1	1	positive
dacarbazine	neuroblastoma, susceptibility to, 1	1	positive
danazol	endometriosis, susceptibility to, 1	1	positive
danazol	enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	1	positive
danazol	greenberg dysplasia	1	positive
danazol	spastic paraplegia and evans syndrome	1	positive
dantrolene	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	1	positive
dantrolene	dystonia 9	1	positive
dantrolene	hypermetabolism due to defect in mitochondria	1	positive
dantrolene	infantile-onset ascending hereditary spastic paralysis	1	positive
dantrolene	malignant hyperthermia, susceptibility to, 1	1	positive
dantrolene	malignant hyperthermia, susceptibility to, 3	1	positive
dantrolene	melas syndrome	1	positive
dantrolene	multiple pterygium-malignant hyperthermia syndrome	1	positive
dantrolene	multiple sclerosis, susceptibility to 1	1	positive
dantrolene	obsolete susceptibility to ischemic stroke	1	positive
dasatinib	dohle bodies and leukemia	1	positive
dasatinib	lymphoblastic leukemia, acute, with lymphomatous features	1	positive
dasatinib	mismatch repair cancer syndrome 1	1	positive
daunorubicin	dohle bodies and leukemia	1	positive
daunorubicin	kaposi sarcoma, susceptibility to	1	positive
daunorubicin	lymphoblastic leukemia, acute, with lymphomatous features	1	positive
daunorubicin	mismatch repair cancer syndrome 1	1	positive
decitabine	miller-dieker lissencephaly syndrome	1	positive
decitabine	portal vein, cavernous transformation of	1	positive
desflurane	autosomal dominant progressive nephropathy with hypertension	1	positive
desflurane	insensitivity to pain with hyperplastic myelinopathy	1	positive
desflurane	obsolete hypertension, diastolic, resistance to	1	positive
desipramine	hereditary attention deficit-hyperactivity disorder	1	positive
desipramine	insensitivity to pain with hyperplastic myelinopathy	1	positive
desmopressin	enuresis, nocturnal, 1	1	positive
desmopressin	factor vii and factor viii, combined deficiency of	1	positive
desmopressin	neurohypophyseal diabetes insipidus	1	positive
desmopressin	nocturnal enuresis, 2	1	positive
desmopressin	obsolete diabetes insipidus, neurohypophyseal type, x-linked inheritance	1	positive
desogestrel	endometriosis, susceptibility to, 1	1	positive
desogestrel	uterine anomalies	1	positive
desonide	grubben-de cock-borghgraef syndrome	1	positive
desoximetasone	grubben-de cock-borghgraef syndrome	1	positive
dexamethasone	asthma, nasal polyps, and aspirin intolerance	1	positive
dexamethasone	cystoid macular edema	1	positive
dexamethasone	dermatosis papulosa nigra	1	positive
dexamethasone	dohle bodies and leukemia	1	positive
dexamethasone	enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	1	positive
dexamethasone	greenberg dysplasia	1	positive
dexamethasone	grubben-de cock-borghgraef syndrome	1	positive
dexamethasone	hyperthermia, cutaneous, with headaches and nausea	1	positive
dexamethasone	mismatch repair cancer syndrome 1	1	positive
dexamethasone	obsolete exostoses of heel	1	positive
dexamethasone	otitis media, susceptibility to	1	positive
dexamethasone	sarcoidosis, susceptibility to, 1	1	positive
dexamethasone	spastic paraplegia and evans syndrome	1	positive
dexrazoxane	ataxia, deafness, and cardiomyopathy	1	positive
dexrazoxane	cardiomyopathy associated with myopathy and sudden death	1	positive
dexrazoxane	dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome	1	positive
dexrazoxane	dilated mediastinal arteries	1	positive
dexrazoxane	encephalopathy, axonal, with necrotizing myopathy, cardiomyopathy, and cataracts	1	positive
dexrazoxane	endocardial fibroelastosis	1	positive
dexrazoxane	sengers syndrome	1	positive
dextroamphetamine	flushing of ears and somnolence	1	positive
dextroamphetamine	hereditary attention deficit-hyperactivity disorder	1	positive
dextromethorphan	hereditary sensory and autonomic neuropathy type 1b	1	positive
dextromethorphan	hyperthermia, cutaneous, with headaches and nausea	1	positive
dextropropoxyphene	insensitivity to pain with hyperplastic myelinopathy	1	positive
diazepam	convulsive disorder, familial, with prenatal or early onset	1	positive
diazepam	dystonia 9	1	positive
diazepam	meniere disease	1	positive
diclofenac	diffuse idiopathic skeletal hyperostosis	1	positive
diclofenac	ifap syndrome 1, with or without bresheck syndrome	1	positive
