drug_name	disease_name	label	source
acetylsalicylic acid	sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	1	positive
acetylsalicylic acid	stroke, susceptibility to, 1	1	positive
acetylsalicylic acid	systemic lupus erythematosus	1	positive
acetylsalicylic acid	systemic lupus erythematosus, susceptibility to, 1	1	positive
acetylsalicylic acid	systemic lupus erythematosus, susceptibility to, 2	1	positive
acetylsalicylic acid	systemic lupus erythematosus, susceptibility to, 3	1	positive
acetylsalicylic acid	systemic lupus erythematosus, susceptibility to, 4	1	positive
acetylsalicylic acid	thrombocythemia 1	1	positive
acetylsalicylic acid	thrombophilia due to thrombin defect	1	positive
acetylsalicylic acid	urinary bladder cancer	1	positive
acifluorfen	colorectal cancer	1	positive
acifluorfen	colorectal cancer, susceptibility to, 1	1	positive
acitretin	papillon-lefevre disease	1	positive
acitretin	psoriasis 1, susceptibility to	1	positive
acitretin	psoriasis 2	1	positive
acitretin	psoriasis 3, susceptibility to	1	positive
acitretin	psoriasis 4, susceptibility to	1	positive
acitretin	psoriasis 5, susceptibility to	1	positive
acitretin	psoriasis 6, susceptibility to	1	positive
acitretin	psoriasis 7, susceptibility to	1	positive
acitretin	psoriasis 9, susceptibility to	1	positive
acitretin	psoriatic arthritis, susceptibility to	1	positive
actelion-1	pulmonary hypertension, primary, 1	1	positive
acyclovir	ectodermal dysplasia-blindness syndrome	1	positive
adapalene	psoriasis 1, susceptibility to	1	positive
adapalene	psoriasis 2	1	positive
adapalene	psoriasis 3, susceptibility to	1	positive
adapalene	psoriasis 4, susceptibility to	1	positive
adapalene	psoriasis 5, susceptibility to	1	positive
adapalene	psoriasis 6, susceptibility to	1	positive
adapalene	psoriasis 7, susceptibility to	1	positive
adapalene	psoriasis 9, susceptibility to	1	positive
adapalene	pyogenic arthritis-pyoderma gangrenosum-acne syndrome	1	positive
adefovir dipivoxil	primary biliary cholangitis 1	1	positive
ademetionine	schizophrenia	1	positive
ademetionine	schizophrenia 1	1	positive
ademetionine	schizophrenia 3	1	positive
ademetionine	schizophrenia 4	1	positive
ademetionine	schizophrenia 5	1	positive
ademetionine	schizophrenia 6	1	positive
ademetionine	schizophrenia 7	1	positive
ademetionine	schizophrenia 8	1	positive
ademetionine	schizophrenia 9	1	positive
adenosine	inherited susceptibility to asthma	1	positive
adenosine	ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome	1	positive
adenosine phosphate	wolff-parkinson-white syndrome	1	positive
adinazolam	panic disorder 1	1	positive
adomiparin	inflammatory bowel disease 1	1	positive
adomiparin	inherited susceptibility to asthma	1	positive
adomiparin	lung cancer	1	positive
adomiparin	lung cancer susceptibility 1	1	positive
adomiparin	myocardial infarction, susceptibility to	1	positive
adomiparin	myocardial infarction, susceptibility to, 2	1	positive
adomiparin	obsolete susceptibility to ischemic stroke	1	positive
adomiparin	preeclampsia/eclampsia 1	1	positive
adomiparin	stroke, susceptibility to, 1	1	positive
aeg35156	acute myeloid leukemia	1	positive
afatinib	lung cancer	1	positive
afatinib	lung cancer susceptibility 1	1	positive
afuresertib	classic hodgkin lymphoma	1	positive
afuresertib	lymphoma, non-hodgkin, familial	1	positive
agmatine	obsolete susceptibility to ischemic stroke	1	positive
ajmaline	ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome	1	positive
alanine	d-bifunctional protein deficiency	1	positive
albuterol	asthma, nasal polyps, and aspirin intolerance	1	positive
albuterol	inherited susceptibility to asthma	1	positive
alclometasone	grubben-de cock-borghgraef syndrome	1	positive
alendronic acid	acroosteolysis dominant type	1	positive
alendronic acid	bone osteosarcoma	1	positive
alendronic acid	inclusion body myopathy with paget disease of bone and frontotemporal dementia type 1	1	positive
alendronic acid	legg-calve-perthes disease	1	positive
alendronic acid	obsolete bone mineral density quantitative trait locus 1	1	positive
alendronic acid	paget disease of bone 2, early-onset	1	positive
alfacalcidol	colorectal cancer	1	positive
alfacalcidol	colorectal cancer, susceptibility to, 1	1	positive
alfacalcidol	graves disease, susceptibility to, 1	1	positive
alfacalcidol	graves disease, susceptibility to, 2	1	positive
alfacalcidol	hypoparathyroidism, familial isolated 1	1	positive
alfacalcidol	inflammatory bowel disease 11	1	positive
alfacalcidol	obsolete bone mineral density quantitative trait locus 1	1	positive
alfacalcidol	x-linked dominant hypophosphatemic rickets	1	positive
alfuzosin	acanthosis nigricans-insulin resistance-muscle cramps-acral enlargement syndrome	1	positive
alfuzosin	insensitivity to pain with hyperplastic myelinopathy	1	positive
alimemazine	atopic eczema	1	positive
alimemazine	dermatitis, atopic, 3	1	positive
alimemazine	dermatitis, atopic, 4	1	positive
alimemazine	dermatitis, atopic, 5	1	positive
alisertib	neuroblastoma, susceptibility to, 1	1	positive
aliskiren	autosomal dominant progressive nephropathy with hypertension	1	positive
aliskiren	essential hypertension, genetic	1	positive
aliskiren	obsolete hypertension, diastolic, resistance to	1	positive
alitretinoin	acute myeloid leukemia	1	positive
alitretinoin	hereditary breast carcinoma	1	positive
alitretinoin	kaposi sarcoma, susceptibility to	1	positive
alitretinoin	lung cancer	1	positive
alitretinoin	lung cancer susceptibility 1	1	positive
alitretinoin	prostate cancer, hereditary	1	positive
alitretinoin	seborrheic keratosis	1	positive
alizapride	gastroesophageal reflux disease	1	positive
allopurinol	chronic myelogenous leukemia, bcr-abl1 positive	1	positive
allopurinol	leishmaniasis, tegumentary, susceptibility to	1	positive
allopurinol	lymphoma, non-hodgkin, familial	1	positive
allopurinol	nephrolithiasis, x-linked recessive, with renal failure	1	positive
allopurinol	susceptibility to visceral leishmaniasis, 1	1	positive
alosetron	pelger-huet-like anomaly and episodic fever with abdominal pain	1	positive
alpha-tocopherol acetate	autosomal recessive inherited pseudoxanthoma elasticum	1	positive
alpha-tocopherol acetate	familial isolated deficiency of vitamin e	1	positive
alpha-tocopherol acetate	focal segmental glomerulosclerosis 1	1	positive
alpha-tocopherol acetate	focal segmental glomerulosclerosis 3, susceptibility to	1	positive
alpha-tocopherol acetate	glioma susceptibility 1	1	positive
alpha-tocopherol acetate	glioma susceptibility 4	1	positive
alpha-tocopherol acetate	lung cancer	1	positive
alpha-tocopherol acetate	lung cancer susceptibility 1	1	positive
alpha-tocopherol acetate	myocardial infarction, susceptibility to	1	positive
alpha-tocopherol acetate	myocardial infarction, susceptibility to, 2	1	positive
alpha-tocopherol acetate	neural tube defects, susceptibility to	1	positive
alpha-tocopherol acetate	pseudoxanthoma elasticum, forme fruste	1	positive
alpha-tocopherol acetate	retinitis pigmentosa	1	positive
alpha-tocopherol acetate	sickle cell disease	1	positive
alpha-tocopherol succinate	autosomal recessive inherited pseudoxanthoma elasticum	1	positive
alpha-tocopherol succinate	familial isolated deficiency of vitamin e	1	positive
alpha-tocopherol succinate	focal segmental glomerulosclerosis 1	1	positive
alpha-tocopherol succinate	focal segmental glomerulosclerosis 3, susceptibility to	1	positive
alpha-tocopherol succinate	glioma susceptibility 1	1	positive
alpha-tocopherol succinate	glioma susceptibility 4	1	positive
alpha-tocopherol succinate	lung cancer	1	positive
alpha-tocopherol succinate	lung cancer susceptibility 1	1	positive
alpha-tocopherol succinate	myocardial infarction, susceptibility to	1	positive
alpha-tocopherol succinate	myocardial infarction, susceptibility to, 2	1	positive
alpha-tocopherol succinate	neural tube defects, susceptibility to	1	positive
alpha-tocopherol succinate	pseudoxanthoma elasticum, forme fruste	1	positive
alpha-tocopherol succinate	retinitis pigmentosa	1	positive
alpha-tocopherol succinate	sickle cell disease	1	positive
alphacetylmethadol	polysubstance abuse, susceptibility to	1	positive
alprazolam	major depressive disorder	1	positive
alprazolam	myocardial infarction, susceptibility to	1	positive
alprazolam	myocardial infarction, susceptibility to, 2	1	positive
alprazolam	panic disorder 1	1	positive
alprazolam	peripheral motor neuropathy-dysautonomia syndrome	1	positive
alprazolam	schizophrenia	1	positive
alprazolam	schizophrenia 1	1	positive
alprazolam	schizophrenia 3	1	positive
alprazolam	schizophrenia 4	1	positive
alprazolam	schizophrenia 5	1	positive
alprazolam	schizophrenia 6	1	positive
alprazolam	schizophrenia 7	1	positive
alprazolam	schizophrenia 8	1	positive
alprazolam	schizophrenia 9	1	positive
alprenolol	ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome	1	positive
alprostadil	pda1	1	positive
alprostadil	pulmonary hypertension, primary, 1	1	positive
altretamine	ovarian cancer, susceptibility to, 1	1	positive
aluminium clofibrate	hypercholesterolemia, autosomal dominant, type b	1	positive
aluminium clofibrate	hypertriglyceridemia 1	1	positive
aluminum sulfate	atherosclerosis susceptibility	1	positive
alvespimycin	hereditary breast carcinoma	1	positive
alvocidib	cdh1-related diffuse gastric and lobular breast cancer syndrome	1	positive
alvocidib	esophageal cancer	1	positive
alvocidib	hereditary breast carcinoma	1	positive
alvocidib	leukemia, chronic lymphocytic, susceptibility to, 2	1	positive
alvocidib	prostate cancer, hereditary	1	positive
amantadine	15q11q13 microduplication syndrome	1	positive
amantadine	autism	1	positive
amantadine	autism, susceptibility to, 3	1	positive
amantadine	autism, susceptibility to, 8	1	positive
amantadine	autism, susceptibility to, x-linked 1	1	positive
amantadine	autism, susceptibility to, x-linked 2	1	positive
amantadine	autism, susceptibility to, x-linked 3	1	positive
amantadine	autosomal dominant popliteal pterygium syndrome	1	positive
amantadine	autosomal recessive juvenile parkinson disease 2	1	positive
amantadine	huntington disease	1	positive
amantadine	intellectual developmental disorder with autism and speech delay	1	positive
amantadine	multiple sclerosis, susceptibility to 1	1	positive
ambrisentan	pulmonary hypertension, primary, 1	1	positive
amcinonide	psoriasis 1, susceptibility to	1	positive
amcinonide	psoriasis 2	1	positive
amcinonide	psoriasis 3, susceptibility to	1	positive
amcinonide	psoriasis 4, susceptibility to	1	positive
amcinonide	psoriasis 5, susceptibility to	1	positive
amcinonide	psoriasis 6, susceptibility to	1	positive
amcinonide	psoriasis 7, susceptibility to	1	positive
amcinonide	psoriasis 9, susceptibility to	1	positive
amifostine	alopecia, androgenetic, 1	1	positive
amifostine	autosomal dominant sideroblastic anemia	1	positive
amifostine	esophageal cancer	1	positive
amifostine	familial pancreatic carcinoma	1	positive
amifostine	hereditary breast carcinoma	1	positive
amifostine	lymphoma, non-hodgkin, familial	1	positive
amifostine	mismatch repair cancer syndrome 1	1	positive
amifostine	pancreatic cancer, susceptibility to, 1	1	positive
amiloride	autosomal dominant progressive nephropathy with hypertension	1	positive
amiloride	chylous ascites	1	positive
amiloride	diabetes insipidus, nephrogenic, autosomal	1	positive
amiloride	diabetes insipidus, nephrogenic, x-linked	1	positive
amiloride	greenberg dysplasia	1	positive
amiloride	liddle syndrome 1	1	positive
amiloride	obsolete hypertension, diastolic, resistance to	1	positive
amiloride	renal hypomagnesemia 2	1	positive
aminoglutethimide	ectodermal dysplasia-blindness syndrome	1	positive
aminoglutethimide	hereditary breast carcinoma	1	positive
aminoglutethimide	prostate cancer, hereditary	1	positive
aminolevulinic acid	psoriasis 1, susceptibility to	1	positive
aminolevulinic acid	psoriasis 2	1	positive
aminolevulinic acid	psoriasis 3, susceptibility to	1	positive
aminolevulinic acid	psoriasis 4, susceptibility to	1	positive
aminolevulinic acid	psoriasis 5, susceptibility to	1	positive
aminolevulinic acid	psoriasis 6, susceptibility to	1	positive
aminolevulinic acid	psoriasis 7, susceptibility to	1	positive
aminolevulinic acid	psoriasis 9, susceptibility to	1	positive
aminolevulinic acid	urinary bladder cancer	1	positive
aminophylline	asthma, nasal polyps, and aspirin intolerance	1	positive
aminophylline	berry aneurysm, cirrhosis, pulmonary emphysema, and cerebral calcification	1	positive
aminophylline	chronic obstructive pulmonary disease	1	positive
aminophylline	inherited susceptibility to asthma	1	positive
aminophylline	lung cancer susceptibility 1	1	positive
aminorex	inherited obesity	1	positive
amiodarone	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	1	positive
amiodarone	autoimmune disease	1	positive
amiodarone	dilated cardiomyopathy 1a	1	positive
amiodarone	myocardial infarction, susceptibility to	1	positive
amiodarone	myocardial infarction, susceptibility to, 2	1	positive
amiodarone	ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome	1	positive
amiodarone	wolff-parkinson-white syndrome	1	positive
amisulpride	schizophrenia 1	1	positive
amisulpride	schizophrenia 3	1	positive
amisulpride	schizophrenia 4	1	positive
amisulpride	schizophrenia 5	1	positive
amisulpride	schizophrenia 6	1	positive
amisulpride	schizophrenia 7	1	positive
amisulpride	schizophrenia 8	1	positive
amisulpride	schizophrenia 9	1	positive
amitriptyline	hyperhidrosis palmaris et plantaris	1	positive
amitriptyline	insensitivity to pain with hyperplastic myelinopathy	1	positive
amitriptyline	peripheral motor neuropathy-dysautonomia syndrome	1	positive
amitriptyline	schizophrenia	1	positive
amitriptyline	schizophrenia 1	1	positive
amitriptyline	schizophrenia 3	1	positive
amitriptyline	schizophrenia 4	1	positive
amitriptyline	schizophrenia 5	1	positive
amitriptyline	schizophrenia 6	1	positive
amitriptyline	schizophrenia 7	1	positive
amitriptyline	schizophrenia 8	1	positive
amitriptyline	schizophrenia 9	1	positive
amlodipine	atherosclerosis susceptibility	1	positive
amlodipine	autosomal dominant progressive nephropathy with hypertension	1	positive
amlodipine	brachydactyly-arterial hypertension syndrome	1	positive
amlodipine	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	1	positive
amlodipine	coronary artery disease, autosomal dominant, 1	1	positive
amlodipine	coronary heart disease, susceptibility to, 2	1	positive
amlodipine	coronary heart disease, susceptibility to, 3	1	positive
amlodipine	coronary heart disease, susceptibility to, 4	1	positive
amlodipine	coronary heart disease, susceptibility to, 5	1	positive
amlodipine	essential hypertension, genetic	1	positive
amlodipine	hypertension, essential, susceptibility to, 1	1	positive
amlodipine	hypertension, essential, susceptibility to, 2	1	positive
amlodipine	hypertension, essential, susceptibility to, 3	1	positive
amlodipine	myocardial infarction, susceptibility to	1	positive
amlodipine	myocardial infarction, susceptibility to, 2	1	positive
amlodipine	obsolete hypertension, diastolic, resistance to	1	positive
amlodipine	preeclampsia/eclampsia 1	1	positive
ammonium chloride	urinary bladder cancer	1	positive
ammonium lactate	anxiety	1	positive
amobarbital	convulsive disorder, familial, with prenatal or early onset	1	positive
amobarbital	hyperphosphatemia, polyuria, and seizures	1	positive
amoxicillin	helicobacter pylori infection, susceptibility to	1	positive
amoxicillin	otitis media, susceptibility to	1	positive
amphetamine	developmental and epileptic encephalopathy, 6a	1	positive
amphetamine	hereditary attention deficit-hyperactivity disorder	1	positive
amphetamine	narcolepsy 1	1	positive
amphetamine	narcolepsy 2, susceptibility to	1	positive
amphetamine	schizophrenia	1	positive
amphetamine	schizophrenia 1	1	positive
amphetamine	schizophrenia 3	1	positive
amphetamine	schizophrenia 4	1	positive
amphetamine	schizophrenia 5	1	positive
amphetamine	schizophrenia 6	1	positive
amphetamine	schizophrenia 7	1	positive
amphetamine	schizophrenia 8	1	positive
amphetamine	schizophrenia 9	1	positive
amphotericin b	alzheimer disease type 1	1	positive
amphotericin b	susceptibility to visceral leishmaniasis, 1	1	positive
amrinone	dilated mediastinal arteries	1	positive
amrinone	pulmonary hypertension, primary, 1	1	positive
amrinone	ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome	1	positive
amsacrine	dilated mediastinal arteries	1	positive
amsacrine	hereditary breast carcinoma	1	positive
anagrelide	thrombocythemia 2	1	positive
anakinra	malignant mesothelioma	1	positive
anastrozole	familial male-limited precocious puberty	1	positive
anastrozole	familial porphyria cutanea tarda	1	positive
anastrozole	hereditary breast carcinoma	1	positive
anastrozole	mccune-albright syndrome	1	positive
ancrod	obsolete susceptibility to ischemic stroke	1	positive
andrographolide	colorectal cancer	1	positive
andrographolide	colorectal cancer, susceptibility to, 1	1	positive
andrographolide	familial pancreatic carcinoma	1	positive
andrographolide	pancreatic cancer, susceptibility to, 1	1	positive
anethole trithione	lung cancer	1	positive
anethole trithione	lung cancer susceptibility 1	1	positive
anethole trithione	sjogren syndrome	1	positive
aniracetam	anxiety	1	positive
anisindione	atrial fibrillation, familial, 3	1	positive
anisodamine	rheumatoid arthritis	1	positive
anisomycin	polysubstance abuse, susceptibility to	1	positive
antazoline	atopic eczema	1	positive
antazoline	dermatitis, atopic, 3	1	positive
antazoline	dermatitis, atopic, 4	1	positive
antazoline	dermatitis, atopic, 5	1	positive
anthralin	psoriasis 1, susceptibility to	1	positive
anthralin	psoriasis 2	1	positive
anthralin	psoriasis 3, susceptibility to	1	positive
anthralin	psoriasis 4, susceptibility to	1	positive
anthralin	psoriasis 5, susceptibility to	1	positive
anthralin	psoriasis 6, susceptibility to	1	positive
anthralin	psoriasis 7, susceptibility to	1	positive
anthralin	psoriasis 9, susceptibility to	1	positive
antimony	susceptibility to visceral leishmaniasis, 1	1	positive
antrafenine	osteoarthritis susceptibility 1	1	positive
antrafenine	osteoarthritis susceptibility 2	1	positive
antrafenine	osteoarthritis susceptibility 3	1	positive
antroquinonol	hepatocellular carcinoma	1	positive
apigenin	familial pancreatic carcinoma	1	positive
apigenin	glioma susceptibility 1	1	positive
apigenin	glioma susceptibility 4	1	positive
apigenin	hereditary breast carcinoma	1	positive
apigenin	pancreatic cancer, susceptibility to, 1	1	positive
apigenin	prostate cancer, hereditary	1	positive
apocynin	becker muscular dystrophy	1	positive
apocynin	duchenne muscular dystrophy	1	positive
apomorphine	autosomal dominant parkinson disease 1	1	positive
apomorphine	autosomal dominant parkinson disease 8	1	positive
apomorphine	autosomal recessive early-onset parkinson disease 7	1	positive
apomorphine	autosomal recessive juvenile parkinson disease 2	1	positive
apomorphine	developmental and epileptic encephalopathy, 6a	1	positive
apomorphine	late-onset parkinson disease	1	positive
apomorphine	paralysis agitans, juvenile, of hunt	1	positive
apomorphine	parkinson disease 11, autosomal dominant, susceptibility to	1	positive
apomorphine	parkinson disease 3, autosomal dominant	1	positive
apomorphine	parkinson disease, mitochondrial	1	positive
apomorphine	parkinsonian-pyramidal syndrome	1	positive
apraclonidine	optn-related open angle glaucoma	1	positive
aprindine	wolff-parkinson-white syndrome	1	positive
arachidonic acid	neural tube defects, susceptibility to	1	positive
ardeparin	thrombophilia due to thrombin defect	1	positive
arecoline	basal cell carcinoma, susceptibility to, 1	1	positive
arformoterol	inherited susceptibility to asthma	1	positive
argatroban	stroke, susceptibility to, 1	1	positive
argatroban	thrombophilia due to thrombin defect	1	positive
arginine	d-glyceric aciduria	1	positive
aripiprazole	15q11q13 microduplication syndrome	1	positive
aripiprazole	alcohol dependence	1	positive
aripiprazole	asperger syndrome, susceptibility to, 1	1	positive
aripiprazole	asperger syndrome, susceptibility to, 2	1	positive
aripiprazole	autism, susceptibility to, 3	1	positive
aripiprazole	autism, susceptibility to, 8	1	positive
aripiprazole	autism, susceptibility to, x-linked 1	1	positive
aripiprazole	autism, susceptibility to, x-linked 2	1	positive
aripiprazole	autism, susceptibility to, x-linked 3	1	positive
aripiprazole	hereditary attention deficit-hyperactivity disorder	1	positive
aripiprazole	huntington disease	1	positive
aripiprazole	inherited obesity	1	positive
aripiprazole	intellectual developmental disorder with autism and speech delay	1	positive
aripiprazole	schizophrenia 1	1	positive
aripiprazole	schizophrenia 3	1	positive
aripiprazole	schizophrenia 4	1	positive
aripiprazole	schizophrenia 5	1	positive
aripiprazole	schizophrenia 6	1	positive
aripiprazole	schizophrenia 7	1	positive
aripiprazole	schizophrenia 8	1	positive
aripiprazole	schizophrenia 9	1	positive
